epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.834,0.72673,1.76162,1.23255,0.92746,0.96155,0.98269,0.88871,0.31312,0.90228,0.24948,0.000475577,0.000475577,0.000475577
2,296.28,0.50329,1.06291,1.07097,0.99632,0.97343,0.99472,0.9898,0.28473,0.60811,0.30339,0.000763432,0.000763432,0.000763432
3,432.848,0.45001,0.91341,1.02957,0.9721,0.97644,0.995,0.97815,0.34324,0.58234,0.28588,0.000862659,0.000862659,0.000862659
4,568.076,0.37978,0.807,1.00253,0.9991,0.99809,0.995,0.97339,0.27325,0.75542,0.24552,0.000580174,0.000580174,0.000580174
5,715.399,0.31202,0.725,0.97575,0.99989,1,0.995,0.99498,0.16649,0.29277,0.17128,0.000297232,0.000297232,0.000297232
